Категория,Название товара,Цена
Манипуляции,эвтаназия собака до 10 кг ( кошка более 6 кг) ( общ.крем),10300
Манипуляции,эвтаназия собака до 10 кг( кошка более 6 кг) индив крем,17200
Манипуляции,эвтаназия собака от 11 до 20 кг  индив крем,25700
Манипуляции,эвтаназия собака от 11 до 20 кг общая крем,13700
Манипуляции,эвтаназия собака от 21 кг до 30 кг  общ. крем,17300
Манипуляции,эвтаназия собака от 21 кг до 30 кг индив крем,27900
Манипуляции,эвтаназия собака от 31 кг до 45 кг индив крем,31700
Манипуляции,эвтаназия собака от 31 кг до 45 кг общ. крем,21100
Манипуляции,Эвтаназия собака свыше 45 кг,25100
Манипуляции,"эвтаназия хомяки, крысы, птицы - индив",15000
Манипуляции,"эвтаназия хомяки, крысы, птицы - общая",8000
Манипуляции,ЭКГ,500
Манипуляции,Экспресс-анализ мочи тест-полоской,200
Манипуляции,Экспресс-тест ВИК+ВЛК ВЦ,2300
Манипуляции,Экспресс-тест иммунодефицит кошек антитела кровь,1500
Манипуляции,Экспресс-тест Калицивироз кошек  ВЦ,900
Манипуляции,Экспресс-тест коронавирус кал ВЦ,1500
Манипуляции,Экспресс-тест коронавирус кал ВЦ (КОШКА),1600
Манипуляции,Экспресс-тест коронавирус сыворотка ВЦ,1200
Манипуляции,Экспресс-тест коронавирус сыворотка ВЦ (КОШКА),1600
Манипуляции,Экспресс-тест Лейкоз ВЦ,1500
Манипуляции,Экспресс-тест Панкреатинлипаза собак ВЦ,3100
Манипуляции,Экспресс-тест панлейкопения кошки ВЦ,1700
Манипуляции,Экспресс-тест парво+корона собаки ВЦ,1700
Манипуляции,Экспресс-тест парво+корона+лямблии ВЦ,2000
Манипуляции,Экспресс-тест парвовирус ВЦ,1700
Манипуляции,Электролиты,1500
Манипуляции,Энтеротомия 2 и более разрезов,15100
Манипуляции,"Энтеротомия, 1 разрез",11500
Манипуляции,Эрлихиоз ПЦР,1000
Манипуляции,ЭХО-скрининг (перед операцией),1700
Манипуляции,ЭХО-скрининг (перед операцией)+ ЭКГ,2600
Манипуляции,Яйца гельминтов и цисты простейших,500
Стоматология,Дентальный рентген I категории,4000
Стоматология,Дентальный рентген II категории,6500
Терапия,Измерения внутриглазного давления,700
Терапия,Консервативное лечение при выпадения прямой кишки/влагалища,2000
Терапия,Консультация без животного,1500
Манипуляции,Первичный прием Ведущего Врача,2700
Терапия,Онлайн консультация,1700
Терапия,Отоскопия,300
Терапия,Офтальмоскопия,200
Терапия,Консультация специалиста (доп. к основному приему),600
Манипуляции,139 Общие желочные кислоты (после приема пищи),1400
Терапия,Стационар 1 категория,6000
Терапия,Стационар 2 категория,9000
Терапия,Стационар 3 категория,12000
Хирургия,Ампутация рудиментарных фаланг 1 категории от 7-ми дневного возраста,2000
Хирургия,Ампутация рудиментарных фаланг 2 категориии от 7-ми дневного возраста,3000
Хирургия,Ампутация рудиментарных фаланг до 7-ми дневного возраста,500
Хирургия,Ампутация хвоста 1 категории старше 7-ми дневного возраста,2000
Хирургия,Ампутация хвоста 2 категории старше 7-ми дневного возраста,4000
Хирургия,Ампутация хвоста до 7-ми дневного возраста,400
Хирургия,Блефарорафия,1700
Хирургия,Вправление глазного яблока (1 глаз),3900
Хирургия,Вправление железы  третьего века,500
Хирургия,Гастропексия,3000
Хирургия,Гастроскопия,12100
Хирургия,Гастроскопия с извлечением иногодного тела,15300
Хирургия,Гастротомия,12000
Хирургия,Грыжесечение паховая грыжа,9000
Хирургия,Грыжесечение промежностная грыжа,12000
Хирургия,Грыжесечение пупочная грыжа,3500
Хирургия,Дренирование плевральной полости,2500
Хирургия,Дренирование полости раны 1 категории (одна полость),500
Хирургия,Дренирование полости раны 2 категории (одна полость),1200
Хирургия,Дренирование полости раны 3 категории (одна полость),1700
Хирургия,Кастрация кобеля до  10 кг при крипторхизме 2 категории без стоимости анестезии,9700
Хирургия,Кастрация кобеля до 10 кг при крипторхизме 1 категории без стоимости анестезии,7700
Хирургия,Кастрация кобеля до 5 кг (все включено),7700
Хирургия,Кастрация кобеля от 10 до 20 кг (все включено),11700
Хирургия,кастрация кобеля от 10 до 30 кг при крипторхизме  1 категория без стоимости анестезии,11200
Хирургия,Кастрация кобеля от 10 до 30 кг при крипторхизме 2 категория без стоимости анестезии,14300
Хирургия,Кастрация кобеля от 20 до 40 кг (все включено),17200
Хирургия,кастрация кобеля от 30 кг при крипторхизме 1 категория без стоимости анестезии,14300
Хирургия,кастрация кобеля от 30 кг при крипторхизме 2 категория без стоимости анестезии,16900
Хирургия,Кастрация кобеля от 40 кг (все включено),20100
Хирургия,Кастрация кобеля от 5 до 10 кг (все включено),10300
Хирургия,Кастрация кота (здоровое животное (все включено)),4700
Хирургия,"Кастрация кота (при крипторхизме,полная стоимосто) 3 категории",10300
Хирургия,"Кастрация кота (при крипторхизме,полная стоимость) 1 категории",7700
Хирургия,"Кастрация кота (при крипторхизме,полная стоимость) 2 категории",9300
Хирургия,Кастрация кролика,7100
Хирургия,Кастрация крысы,4900
Хирургия,Кастрация хорька,7900
Хирургия,Кесарево сечение кошки (анес и расходники отдельно),12700
Хирургия,Кесарево сечение суки весом до 10 кг (анес и расходники отдельно),15100
Хирургия,Кесарево сечение суки весом от 10 до 20 кг(анес и расходники отдельно),19100
Хирургия,Кесарево сечение суки весом от 20 до 40 кг (анес и расходники отдельно),23700
Хирургия,Кесарево сечение суки весом от 40 кг (анес и расходники отдельно),29200
Хирургия,Мастэктомия билатеральная 1 категории,10100
Хирургия,Мастэктомия билатеральная 2 категории,12100
Хирургия,Мастэктомия билатеральная 3 категории,17300
Хирургия,Мастэктомия регионарная 1 категории,3900
Хирургия,Мастэктомия регионарная 2 категории,5500
Хирургия,Мастэктомия регионарная 3 категории,7000
Хирургия,Мастэктомия унилатеральная 1 категории,7000
Хирургия,Мастэктомия унилатеральная 2 категории,9000
Хирургия,Мастэктомия унилатеральная 3 категории,12000
Хирургия,Наложение косметического  шва кошке и собаке  до 10кг,1000
Хирургия,Наложение косметического  шва собаке свыше 10кг,1300
Хирургия,Овариогистероэктомия  кошки (здоровое животное (все включено),6700
Хирургия,"Овариогистероэктомия кошки (при патологии  половой  системы, беременности)анес.и расх. не входят",10100
Хирургия,"Овариогистероэктомия суки до 10 кг (при патологии половой системы, беременности)анес.и расх. не входят",13100
Хирургия,Овариогистероэктомия суки до 5 кг (здоровое животное (все включено)),10300
Хирургия,Овариогистероэктомия суки от 10 до 20 кг (здоровое животное (все включено)),19900
Хирургия,"Овариогистероэктомия суки от 10 до 20 кг (при пат.половой системы, беременности)анес.и расх. не входят",19300
Хирургия,Овариогистероэктомия суки от 20 до 40 кг (здоровое животное (все включено)),23100
Хирургия,"Овариогистероэктомия суки от 20 до 40 кг (при пат.половой системы, беременности)анес.и расх. не входят",21500
Хирургия,Овариогистероэктомия суки от 40 кг (здоровое животное (все включено)),31900
Хирургия,Овариогистероэктомия суки от 5 до 10кг (здоровое животное (все включено)),12700
Хирургия,Овариогистероэктомия суки свыше 40 кг (здоровое животное (все включено)),31900
Хирургия,"Овариогистероэктомия суки свыше 40 кг (при пат.половой системы, беременности)анес.и расх. не входят",29900
Хирургия,Оперативное вмешательство 1 категории (стоимость за час),3500
Хирургия,Оперативное вмешательство 2 категории (стоимость за час),4500
Хирургия,Оперативное вмешательство 3 категории (стоимость за час),6200
Хирургия,Оперативное вмешательство 4 категории (стоимость за час),8100
Хирургия,Оперативное лечение диафрагмальной грыжи,11300
Хирургия,Оперативное лечение пролапса слезной железы (1 глаз),3500
Хирургия,Операции на третьем веке 1 категории,2000
Хирургия,Операции на третьем веке 2 категории,3500
